店铺长ID,店铺名称,地址,店铺分类,品类,省,市,区,手机
40096647,卷卷爱寿司（银亿都会店）,海曙区雅戈尔大道银亿都会广场1楼,餐饮,日本菜,浙江省,宁波,海曙区,15867871586
6958808,高粱红手擀面（天一东渡路店）,海曙区东渡路18号（世贸广场对面、贴阁碧旁边）,餐饮,小吃快餐,浙江省,宁波,海曙区,0574-87345666
743911442,宁海小吃,海曙区恒春街149号,餐饮,小吃快餐,浙江省,宁波,海曙区,13586507775
83786,威斯汀酒店·知味自助餐厅（日新街店）,海曙区日新街75号威斯汀酒店2楼（天一广场乐购超市对面）,餐饮,自助餐,浙江省,宁波,海曙区,0574-89113299
5713783,香颂chanson（世纪东方广场店）,鄞州区中山东路1083号世纪东方广场地下一层B028号（银泰超市门口）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,0574-87155817/18657489622
194746675,蚝翅·高压锅生蚝（集盒店）,鄞州区徐戎路039号,餐饮,烧烤烤串,浙江省,宁波,鄞州区,0574-87296676/4000574717
4250255,面包诱惑（银泰总店）,慈溪市浒山糖坊路103-105号（银泰城西侧）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63772927/17858895172
2416999,朱大龙虾煲庄,慈溪市浒山南二环线586号（金南宾馆）,餐饮,慈溪小龙虾,浙江省,宁波,慈溪市,0574-63102216/13968208892
610721133,大江户居酒屋（宁波万象汇店）,鄞州区钱湖北路万象汇商业广场第L2层L228号,餐饮,日本菜,浙江省,宁波,鄞州区,13336889288
4002666,尚品宫韩式自助烤肉（轻纺城店）,海曙区雅戈尔大道145-151号洛兹广场B座F3室（洛兹广场B座3楼006F）,餐饮,烧烤烤串,浙江省,宁波,海曙区,0574-88257997
2576675,椰农,海曙区公园路77弄1号,餐饮,面包甜点,浙江省,宁波,海曙区,0574-87238161
86581927,欢乐牧场烧烤涮自助餐厅,海曙区开明街351号食方世界3楼（永耀大酒店旁）,餐饮,火锅,浙江省,宁波,海曙区,0574-87080683
6591419,艾菲蛋糕（海曙店）,海曙区新典路77号,餐饮,生日蛋糕,浙江省,宁波,海曙区,13586575683
40228589,小虎豆浆,慈溪市教场山东路93号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13116623233
722712913,原始泥炉烤肉（钱湖天地店）,鄞州区宁波市鄞州区中河街道钱湖北路439弄77-5号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-88353859/18514029212
5963740,沈氏祖傳·老寜波油贊子（鼓楼总店）,海曙区府桥街68弄16号,餐饮,小吃快餐,浙江省,宁波,海曙区,13968319702/15257888757
1857241,威斯汀酒店·中国元素中餐厅,海曙区日新街75号威斯汀酒店3-4楼（近天一广场）,餐饮,江浙菜,浙江省,宁波,海曙区,0574-81877777
178114398,鸟町居酒屋,鄞州区光华路5号金东岸河边,餐饮,日本菜,浙江省,宁波,鄞州区,17757451938
5447074,汉江韩国料理（南二环店）,慈溪市白沙路街道南二环东路1298号,餐饮,慈溪日韩料理,浙江省,宁波,慈溪市,15058066130
843984,戚家山宾馆中餐厅,北仑区小港开发区东海路20号戚家山宾馆内,餐饮,特色菜,浙江省,宁波,北仑区,0574-86183101
195190251,有骨气•筒骨砂锅（世纪东方店）,鄞州区中山东路1083号世纪东方广场一楼,餐饮,火锅,浙江省,宁波,鄞州区,0574-88276693
6557436,创食人黑鸭,鄞州区四明中路万达广场北侧,餐饮,小吃快餐,浙江省,宁波,鄞州区,13777285768
6155793,阿紫私家烘焙（天静巷店）,鄞州区天静巷128号（近利时百货北门）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,13386619976
153653785,弥鹿炭火烤肉·韩国料理,海曙区鼓楼里巷府桥街38弄13号,餐饮,烧烤烤串,浙江省,宁波,海曙区,13884453119
5284171,爱心园,慈溪市横河镇杨梅大道183号（农村合作银行斜对面）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,13867884480/13505787816
5702754,奥泽烘焙,海曙区集士港蕙兰路61-63号（井亭家园底商）,餐饮,生日蛋糕,浙江省,宁波,海曙区,13906618715
798206692,海林家土灶鸡,鄞州区集锦街152号,餐饮,特色菜,浙江省,宁波,鄞州区,16257452222/15751618000
41743332,私享家烘焙（南部商务区店）,鄞州区南部商务区城市摩尔商业街天健巷77号,餐饮,生日蛋糕,浙江省,宁波,鄞州区,15968900595
41684176,大理寺云南过桥米线（翠柏店）,海曙区体育场路68号（东道煮火锅对面）,餐饮,小吃快餐,浙江省,宁波,海曙区,15728032122
162885456,蜀大侠火锅（天一广场店）,海曙区天一广场华楼巷72-92号（新石浦大酒店后门）,餐饮,火锅,浙江省,宁波,海曙区,0574-88265003
4057387,北京烤鸭（西门店）,慈溪市新江路586号西门菜市场正对面,餐饮,慈溪北京菜,浙江省,宁波,慈溪市,15990295335
40454684,SWEET CAKE私味创艺蛋糕,海曙区南门街道迎春街57号,餐饮,生日蛋糕,浙江省,宁波,海曙区,18606598831
559228462,甬尚名灶,鄞州区科技路202号,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,13738817797
5033513,佳养记百味鸡煲（鄞州店）,鄞州区四明广场36号（近天港禧悦酒店）,餐饮,火锅,浙江省,宁波,鄞州区,0574-88310537
40378587,吉诺披萨餐厅,鄞州区姜山镇南大东路026号,餐饮,西餐,浙江省,宁波,鄞州区,13780092003
1772648932,川味之家,鄞州区滨江商业广场桃源街390-392号,餐饮,川湘菜,浙江省,宁波,鄞州区,18657471195
2688342,拾笺（轻纺城店）,海曙区雅戈尔大道126-5号（近轻纺城）,餐饮,生日蛋糕,浙江省,宁波,海曙区,0574-28862266
4779250,Marduff玛尔达芙（观城店）,慈溪市观海卫振观路27-29号,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63669718
1856061,要德鲜派老火锅（联丰店）,海曙区环城西路南段262号,餐饮,火锅,浙江省,宁波,海曙区,0574-55224799
2491108,MY.girl蜜菓（银亿海尚广场店）,镇海区骆驼银亿海尚广场三五路426弄49号（保利影院后门步行街）,餐饮,饮品店,浙江省,宁波,镇海区,18142036655
4489616,御喜玛蛋糕,鄞州区王隘路47弄4号（近写意春秋小区）,餐饮,生日蛋糕,浙江省,宁波,鄞州区,0574-27890067/18606603790
193988387,名炉火吧木炭烤肉,鄞州区清水桥路377号,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,0574-83888190
5292342,爵士牛排（杭州湾店）,慈溪市金源大道世纪金源购物中心永辉超市四楼,餐饮,慈溪西餐,浙江省,宁波,慈溪市,0574-82352181
6485165,鱼乡客烤鱼餐厅（慈百路店）,慈溪市慈百路217-219号（长途汽车站往西400米，金海湾大厦下面）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,18258711585
74239170,三里屯土灶炖公鸡（鄞州店）,鄞州区天源巷47号,餐饮,特色菜,浙江省,宁波,鄞州区,18912550777
4391199,海绵贝比烘培坊,余姚市东旱门北路66弄24号（舜江名苑东门口）,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62780260/13958366449
40896706,年糕的故事,慈溪市浒山街道乌山路256号（金山公园斜对面）,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13957454064
1634338923,山耕阙里·衢州农家菜,江北区天水广场江北区康庄南路70号天,餐饮,江浙菜,浙江省,宁波,江北区,0574-56871609/18868685772
6385684,小杨特色石锅鱼（周巷店）,慈溪市周巷开发路697号（碧塔海往西200米）,餐饮,慈溪火锅,浙江省,宁波,慈溪市,13777189731
848612,东福园饭店,海曙区公园路5号,餐饮,江浙菜,浙江省,宁波,海曙区,0574-87175777/83897999
195190251,有骨气•筒骨砂锅（世纪东方店）,鄞州区中山东路1083号世纪东方广场一楼,餐饮,火锅,浙江省,宁波,鄞州区,0574-88276693
2531899,余姚宾馆,余姚市舜水南路108号,餐饮,余姚自助餐,浙江省,宁波,余姚市,0574-62708888
5315484,夏记北京烤鸭（上林坊店）,慈溪市南门大街221号（钱塘国脉对面）,餐饮,慈溪北京菜,浙江省,宁波,慈溪市,0574-63800799/15268438388
153653785,弥鹿炭火烤肉·韩国料理,海曙区鼓楼里巷府桥街38弄13号,餐饮,烧烤烤串,浙江省,宁波,海曙区,13884453119
42758898,老陕西面馆（洪塘店）,江北区通惠路26号,餐饮,小吃快餐,浙江省,宁波,江北区,13152144419
4458247,林记烤鱼大王（泗门店）,余姚市中华路72-74号,餐饮,余姚香锅烤鱼,浙江省,宁波,余姚市,15058209925/18358411597
798206692,海林家土灶鸡,鄞州区集锦街152号,餐饮,特色菜,浙江省,宁波,鄞州区,16257452222/15751618000
6696894,火烧鸟·居酒屋（慈溪店）,慈溪市慈百路276号博洋智谷2楼,餐饮,慈溪日本菜,浙江省,宁波,慈溪市,0574-63111077/13675887768
1857942,波特曼（阳明东路店）,余姚市阳明东路72号（近移动公司）,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62621870
162885456,蜀大侠火锅（天一广场店）,海曙区天一广场华楼巷72-92号（新石浦大酒店后门）,餐饮,火锅,浙江省,宁波,海曙区,0574-88265003
6977510,余姚梁弄大糕（慈溪店）,慈溪市古塘街道后二房路44号,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,15957416510
41601572,优卡甜心（马渚店）,余姚市马渚镇小马路18号,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62462539/18857461688
559228462,甬尚名灶,鄞州区科技路202号,餐饮,江河湖海鲜,浙江省,宁波,鄞州区,13738817797
63620506,四季永逸西餐厅,镇海区骆驼慈海南路1718号（四季永逸一楼）,餐饮,自助餐,浙江省,宁波,镇海区,0574-86568776
5448659,椰子鸡（水街店）,鄞州区南部商务区泰金巷水街4号楼3楼,餐饮,更多地方菜,浙江省,宁波,鄞州区,0574-28886188
1160642435,飞哥饭店,海曙区高君路183号,餐饮,江浙菜,浙江省,宁波,海曙区,15382445373
6332606,168烧烤（庄市店）,镇海区庄市街道聚兴路52号（庄市菜场斜对面）,餐饮,烧烤烤串,浙江省,宁波,镇海区,0574-56799727/13819887295
5715388,云石林过桥米线（初六食仓店）,北仑区新碶街道岷山路505号（银泰城）2幢505号四层4081号商铺（五号门四楼初六食仓内）,餐饮,小吃快餐,浙江省,宁波,北仑区,0574-55867799
161834995,鱼司令我家酸菜鱼（博地店）,北仑区大碶街道宝山路1282号5层C505-1,餐饮,火锅,浙江省,宁波,北仑区,15669173366
2710909,一席地（南二环线店）,慈溪市南二环线570号（南二环东路与乌山南路交叉口东行100米路北）,餐饮,慈溪火锅,浙江省,宁波,慈溪市,0574-63279999
1172280,美粥王（宁波1店）,鄞州区惊驾路281号,餐饮,小吃快餐,浙江省,宁波,鄞州区,0574-87744988
1262973734,古田村·衢州菜餐厅（集士港店）,海曙区春华路928号杰迈众创园天港漫非斜对面,餐饮,江浙菜,浙江省,宁波,海曙区,0574-87119717/15381936879
40106228,鲜目录·外带寿司（洪塘门店）,江北区洪塘中路281号（洪塘中路与江北大道交叉口）,餐饮,日本菜,浙江省,宁波,江北区,0574-87345674
4897398,披萨工坊（师桥店）,慈溪市观海卫师桥三北东路849号,餐饮,慈溪西餐,浙江省,宁波,慈溪市,15906535808
851115,蚝翅·海鲜烧烤（月湖盛园店）,海曙区盛园巷8号,餐饮,烧烤烤串,浙江省,宁波,海曙区,0574-81858133/4000574717
5888281,关东烤蹄（阳明东路店）,余姚市阳明东路246号,餐饮,余姚烧烤烤串,浙江省,宁波,余姚市,13777161820
6114993,三毛烤鱼坊,慈溪市新城大道北路677号（国际大酒店旁边）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,18989312556
1793775264,午酒小炸,鄞州区四明城市广场16号,餐饮,小吃快餐,浙江省,宁波,鄞州区,13034604444
2468352,丽清大别山鹅火锅（北仑店）,北仑区大碶街道新大路1526号明港公寓（大润发南侧）,餐饮,火锅,浙江省,宁波,北仑区,0574-86109816
850675,大渔铁板烧（天一店）,海曙区中山东路166号国际购物中心4楼（近天一广场）,餐饮,日本菜,浙江省,宁波,海曙区,0574-87684079/0574-87684080
1251057876,第一烤场,北仑区宝山路博地影秀城酒吧街c102-2,餐饮,中式烧烤/烤串,浙江省,宁波,北仑区,13199693392/18511698320
2572522,普罗旺司,慈溪市周巷镇兴业北路303号（杭州宝岛眼镜对面）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63193212
5590666,O'Sha Baby欧莎贝贝（老车站店）,慈溪市南大街2-6号（观海卫路与南大街交口）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,0574-63678000
5324036,光定海鲜,象山县玉泉路196号,餐饮,象山江河湖海鲜,浙江省,宁波,象山县,15305741607
40010677,重庆酸辣粉,鄞州区南大路3号（中国联通斜对面）,餐饮,小吃快餐,浙江省,宁波,鄞州区,18268655936
4422045,阿猛烤鱼王,慈溪市庵东市场路333-335号（夜明珠会所斜对面）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,13586609260/15258312299
1989894837,胡同泥炉烤肉（宁波总店）,鄞州区天童北路1209号迪赛明天广场（地铁三号线B出口）,餐饮,中式烧烤/烤串,浙江省,宁波,鄞州区,13957818833
843427,宁海食府（鼓楼孝闻店）,海曙区孝闻街77号（鼓楼步行街西面300米）,餐饮,江河湖海鲜,浙江省,宁波,海曙区,0574-87262908
5210722,玛尔达芙,北仑区海港路大榭邻里中心2区125-126号,餐饮,面包甜点,浙江省,宁波,北仑区,0574-86761522
1160642435,飞哥饭店,海曙区高君路183号,餐饮,江浙菜,浙江省,宁波,海曙区,15382445373
42249463,椿林麻辣烫（新浦店）,慈溪市新胜路87号（金利堂珠宝西隔壁）,餐饮,慈溪小吃快餐,浙江省,宁波,慈溪市,13637999600
41628313,V2juiceworld（高鑫广场店）,海曙区新星路111号高鑫广场3层,餐饮,饮品店,浙江省,宁波,海曙区,13906616150
161834995,鱼司令我家酸菜鱼（博地店）,北仑区大碶街道宝山路1282号5层C505-1,餐饮,火锅,浙江省,宁波,北仑区,15669173366
4967898,汉堡小子（西门店）,慈溪市新江路316–318号（彩虹家园沿街商铺）,餐饮,慈溪西餐,浙江省,宁波,慈溪市,0574-63807252
52684266,沐甜艺焙（水门路店）,慈溪市水门路67号（中国工商银行西10米）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,18858431826
851115,蚝翅·海鲜烧烤（月湖盛园店）,海曙区盛园巷8号,餐饮,烧烤烤串,浙江省,宁波,海曙区,0574-81858133/4000574717
6797972,黑天鹅精致生活馆,慈溪市银泰东门对面金沙半岛901室（威尼斯自助餐厅楼上）,餐饮,慈溪生日蛋糕,浙江省,宁波,慈溪市,13806642868
12789,哈礼羊火锅（余姚店）,余姚市东旱门北路56、58、60号,餐饮,余姚火锅,浙江省,宁波,余姚市,0574-62683777
1793775264,午酒小炸,鄞州区四明城市广场16号,餐饮,小吃快餐,浙江省,宁波,鄞州区,13034604444
5113574,尚品韩式自助烤肉（奉化店）,奉化市斗门路3幢14-17号万达外街一楼,餐饮,奉化烧烤烤串,浙江省,宁波,奉化市,15057431239
2777176,大师傅面包工坊,宁海县跃龙街道北斗北路66号,餐饮,宁海生日蛋糕,浙江省,宁波,宁海县,0574-65599925
1186571385,鮨秋山料理,鄞州区鄞州区四明中路668-7号（利时奥特莱斯东门对面）,餐饮,日本菜,浙江省,宁波,鄞州区,15058034900/15557426830
41838286,阿胖烧烤·烤鱼,余姚市东旱门路二中往南100米路东,餐饮,余姚香锅烤鱼,浙江省,宁波,余姚市,15824521122/15958888383
40018074,Vito's Pizza滋活披萨（慈溪店）,慈溪市解放中街华润万家老浒山店1楼,餐饮,慈溪西餐,浙江省,宁波,慈溪市,0574-63027773
1475496313,勇冒红油冒菜（印象城店）,鄞州区钱湖北路印象城B1-48,餐饮,小吃快餐,浙江省,宁波,鄞州区,15957447119
3278034,新浪有约扇贝王时尚主题烤场（慈溪店）,慈溪市乌山路326号,餐饮,慈溪中式烧烤/烤串,浙江省,宁波,慈溪市,0574-63891237/13867893636
40770934,童童黄焖鸡米饭,北仑区富春江路与黄山西路交叉口南行50米路西（高塘街173号-1）,餐饮,小吃快餐,浙江省,宁波,北仑区,18668251023
1016124518,鸣辉·正本料理,江北区豪成国际11楼,餐饮,日本菜,浙江省,宁波,江北区,0574-87702200
4993785,锅亦稻食尚粥道馆（泰寓路店）,鄞州区中河街道泰寓路411、413号（近华泰餐饮一条街）,餐饮,小吃快餐,浙江省,宁波,鄞州区,0574-88291557
6232607,记在心烤鱼（周巷店）,慈溪市周巷开发路687号（碧塔海往西约200米）,餐饮,慈溪香锅烤鱼,浙江省,宁波,慈溪市,15869558755/15658267975
164618586,町山火之国·炭火烧肉·居酒屋（明州里店）,鄞州区钟公庙路270弄77号（明州里步行街内）,餐饮,烧烤烤串,浙江省,宁波,鄞州区,0574-83052362
51247081,太平洋大酒店四季饼屋（南滨江路店）,余姚市南滨江路168号太平洋大酒店内,餐饮,余姚生日蛋糕,浙江省,宁波,余姚市,0574-62886328
